"","Target_y","Target_y(Ensembl)","nVars","CGC_baseline","nInferredGenes","CGC_detected","pval","CGC_in_top50","pval_top_50","CGC_in_top100","pval_top_100","CGC_in_top150","pval_top_150"
"1","SMAD4","ENSG00000141646","733","94","350","50","0.153664816486277","7","0.465657403023818","19","0.0381796788502972","27","0.0261790064801659"
"2","USP9X","ENSG00000124486","733","93","304","37","0.678061927556561","6","0.628612508152787","12","0.639836548297435","17","0.753458536015877"
"3","FOXP1","ENSG00000114861","733","94","285","44","0.0584551897937318","8","0.304108430153872","20","0.0194237448040735","26","0.0462232913537161"
"4","MEN1","ENSG00000133895","733","94","351","56","0.0101436174509995","10","0.0926442655571527","20","0.0194237448040735","33","0.000278257490865519"
"5","AFDN","ENSG00000130396","733","94","356","54","0.0413648320839668","7","0.465657403023818","13","0.529908607386094","21","0.358107120848086"
"6","TBL1XR1","ENSG00000177565","733","94","318","47","0.101477189250015","13","0.00679143373152158","17","0.120143846465085","24","0.122677670485198"
"7","ERBB2","ENSG00000141736","732","93","361","47","0.443819031372275","7","0.455159563161923","15","0.274512704581626","21","0.339653035566722"
"8","PIK3R1","ENSG00000145675","732","93","445","69","0.00276116147045169","8","0.294695098676559","20","0.0175088125441358","29","0.00612677792807403"
"9","KDM6A","ENSG00000147050","733","94","280","41","0.148298468914437","9","0.177568499771446","18","0.0700876398191776","24","0.122677670485198"
"10","BRCA1","ENSG00000012048","732","93","361","50","0.209856278503241","11","0.0406492707183164","15","0.274512704581626","20","0.443705685653181"
"11","TP53","ENSG00000141510","733","94","277","44","0.0355400477081514","15","0.000700410719764899","20","0.0194237448040735","26","0.0462232913537161"
"12","ARID1A","ENSG00000117713","733","94","345","49","0.173021454896067","7","0.465657403023818","18","0.0700876398191776","23","0.184580873264342"
"13","NF1","ENSG00000196712","733","94","317","50","0.0246458981091985","5","0.794882753741904","14","0.40319122622408","23","0.184580873264342"
"14","SF3B1","ENSG00000115524","733","94","342","47","0.278956062328354","10","0.0926442655571527","14","0.40319122622408","25","0.0773413173776969"
"15","MAP2K4","ENSG00000065559","733","94","297","40","0.373553359116731","8","0.304108430153872","12","0.655923564040558","17","0.770348084299178"
"16","RB1","ENSG00000139687","733","94","323","45","0.24620437452852","5","0.794882753741904","9","0.923049710868751","21","0.358107120848086"
"17","CDH1","ENSG00000039068","733","94","421","61","0.0720726898513638","8","0.304108430153872","15","0.287849275171546","30","0.00343968047567"
"18","CDKN1B","ENSG00000111276","733","94","280","42","0.1023713584115","8","0.304108430153872","13","0.529908607386094","20","0.463234021221194"
"19","PIK3CA","ENSG00000121879","733","94","351","53","0.048890134793901","8","0.304108430153872","16","0.192355578030579","22","0.263679410148805"
"20","KMT2C","ENSG00000055609","733","94","262","38","0.183862828311461","11","0.0432350908932444","20","0.0194237448040735","30","0.00343968047567"
"21","FOXO3","ENSG00000118689","733","94","367","56","0.0309491117842505","8","0.304108430153872","16","0.192355578030579","24","0.122677670485198"
"22","PTEN","ENSG00000171862","733","94","369","50","0.315215709209914","10","0.0926442655571527","15","0.287849275171546","23","0.184580873264342"
"23","BRCA2","ENSG00000139618","732","93","327","53","0.00735908358287707","7","0.455159563161923","16","0.181578794455211","25","0.0700447472815665"
"24","AKT1","ENSG00000142208","733","94","445","61","0.219494731307694","8","0.304108430153872","13","0.529908607386094","18","0.676958817320927"
"25","TBX3","ENSG00000135111","733","94","417","56","0.327024631750108","7","0.465657403023818","12","0.655923564040558","19","0.572159399928394"
"26","CHEK2","ENSG00000183765","733","94","278","45","0.0228221486094971","9","0.177568499771446","16","0.192355578030579","26","0.0462232913537161"
"27","CBFB","ENSG00000067955","733","94","282","44","0.0488064808261615","7","0.465657403023818","15","0.287849275171546","22","0.263679410148805"
"28","NCOR1","ENSG00000141027","733","94","297","38","0.550465214499053","8","0.304108430153872","20","0.0194237448040735","27","0.0261790064801659"
"29","KRAS","ENSG00000133703","733","94","321","40","0.643393295922399","6","0.639723083502489","12","0.655923564040558","18","0.676958817320927"
"30","CDKN2A","ENSG00000147889","732","93","198","38","0.00138857511113433","11","0.0406492707183164","20","0.0175088125441358","31","0.00130769778044648"
"31","RUNX1","ENSG00000159216","733","94","356","50","0.197596378337913","7","0.465657403023818","14","0.40319122622408","23","0.184580873264342"
"32","ZFP36L1","ENSG00000185650","733","93","385","55","0.104280925953244","10","0.0873879703801413","18","0.0639776047400302","25","0.0690652466266384"
"33","GATA3","ENSG00000107485","732","93","361","39","0.949228418546547","7","0.455159563161923","13","0.514626365995576","17","0.755689231072162"
"34","MAP3K1","ENSG00000095015","733","94","354","53","0.0581610402461197","9","0.177568499771446","17","0.120143846465085","25","0.0773413173776969"
"35","GPS2","ENSG00000132522","733","93","459","58","0.569747213996445","5","0.786629579792999","15","0.272610919244796","22","0.245166986622654"
"36","CTCF","ENSG00000102974","733","94","364","52","0.143408157177468","11","0.0432350908932444","17","0.120143846465085","23","0.184580873264342"
"37","CTNNA1","ENSG00000044115","733","93","361","51","0.148519947221168","6","0.628612508152787","15","0.272610919244796","29","0.00599944814683273"
"38","BAP1","ENSG00000163930","733","94","421","54","0.545097571788529","5","0.794882753741904","13","0.529908607386094","21","0.358107120848086"
"39","PBRM1","ENSG00000163939","733","94","364","52","0.143408157177468","7","0.465657403023818","16","0.192355578030579","27","0.0261790064801659"
