"","Target_y","Target_y(Ensembl)","nVars","CGC_baseline","nInferredGenes","CGC_detected","pval","CGC_in_top150","pval_top_150"
"1","SMAD4","ENSG00000141646","733","94","350","50","0.153664816486277","27","0.0261790064801659"
"2","FOXP1","ENSG00000114861","733","94","285","44","0.0584551897937318","26","0.0462232913537161"
"3","MEN1","ENSG00000133895","733","94","351","56","0.0101436174509995","33","0.000278257490865519"
"4","AFDN","ENSG00000130396","733","94","356","54","0.0413648320839668","21","0.358107120848086"
"5","PIK3R1","ENSG00000145675","732","93","445","69","0.00276116147045169","29","0.00612677792807403"
"6","TP53","ENSG00000141510","733","94","277","44","0.0355400477081514","26","0.0462232913537161"
"7","NF1","ENSG00000196712","733","94","317","50","0.0246458981091985","23","0.184580873264342"
"8","CDH1","ENSG00000039068","733","94","421","61","0.0720726898513638","30","0.00343968047567"
"9","PIK3CA","ENSG00000121879","733","94","351","53","0.048890134793901","22","0.263679410148805"
"10","KMT2C","ENSG00000055609","733","94","262","38","0.183862828311461","30","0.00343968047567"
"11","FOXO3","ENSG00000118689","733","94","367","56","0.0309491117842505","24","0.122677670485198"
"12","BRCA2","ENSG00000139618","732","93","327","53","0.00735908358287707","25","0.0700447472815665"
"13","CHEK2","ENSG00000183765","733","94","278","45","0.0228221486094971","26","0.0462232913537161"
"14","CBFB","ENSG00000067955","733","94","282","44","0.0488064808261615","22","0.263679410148805"
"15","NCOR1","ENSG00000141027","733","94","297","38","0.550465214499053","27","0.0261790064801659"
"16","CDKN2A","ENSG00000147889","732","93","198","38","0.00138857511113433","31","0.00130769778044648"
"17","CTNNA1","ENSG00000044115","733","93","361","51","0.148519947221168","29","0.00599944814683273"
"18","PBRM1","ENSG00000163939","733","94","364","52","0.143408157177468","27","0.0261790064801659"
